u_apercor,g_apercor,r_apercor,i_apercor,z_apercor,y_apercor,zhelio
23.79241377178853,23.7177736795224,23.310728392307098,23.1315240119839,22.10391968051668,22.323554402597132,1.2856953
24.69351371284345,24.140874096152487,23.97728529617468,23.605804496701598,23.815770499707778,23.687323658402228,0.077074096
24.290395800113785,23.870801757539326,23.0000980443737,22.699104216626296,22.49876820573506,22.30545232131432,0.42926186
24.34834801895967,24.294493525106308,23.76016744008683,23.312287067995694,23.02326244512227,23.43469718093168,0.68713367
24.22006016674908,23.385668819467586,22.680014759986427,22.422891479872394,22.1135205478601,22.108386683680905,0.28246218
23.99828362969385,23.351509841338064,22.630462860928493,22.47191168625398,22.111528100651732,22.53604094744886,0.28129736
24.070298828621898,23.96827135672454,23.5150198241617,23.12216212308408,22.72132410508318,23.13375743504895,0.8100853
23.729836681941894,23.726685647092776,23.18840439672601,22.86207555155271,22.46359676125522,22.384569447867165,0.81036025
24.71517201357133,23.414579095557368,21.93314664683187,20.84860895301377,20.42974599875198,20.07458017569803,0.65044224
24.21294362355937,23.62576742929094,22.675991253593544,22.57935922681244,22.371930879618734,22.302684166117025,0.32099375
23.244011228727917,22.587722646261458,21.70327500805778,21.408622154982183,21.10729067418438,21.050360367676475,0.39841515
23.03837079597478,22.63181380105503,21.795915826842542,21.571012206868108,21.476479603543584,21.374192473878594,0.4266697
23.96837672778898,23.865398303989238,23.349381460801734,22.80953238623865,22.280688124861815,22.60160881652424,1.1255314
24.075865719386584,24.04482502130661,23.783149977784735,23.79054631937597,23.18453028006693,22.83272968254966,1.3471721
24.0758559891684,23.64243131287571,23.069314402082295,22.7174974682831,22.41757016782722,22.56044989877242,0.68719876
23.84778566004991,22.91058304841442,21.978057192967444,21.6825157623029,21.392140040544557,21.219584685434256,0.28745168
23.207658386160066,21.670218750210534,20.38949798859901,19.860472750952095,19.529330461228245,19.448202621046583,0.29004413
22.591631013277908,21.90380721227969,21.024516157954608,20.289467083711813,19.90607227144182,19.60971870918825,0.6835584
23.486756218082157,22.96422202243062,22.195337186290313,22.01081425968184,21.669670034890295,21.62061057692486,0.37586945
22.806137516973187,21.090257885093994,19.755352908005364,19.238738879035893,18.944780321649695,18.752542867211773,0.28161702
22.70802203611863,22.155784596549296,21.416238162409552,20.94759659309057,20.740692971829915,20.749085763328665,0.6483586
24.2979845221406,22.598123836317537,21.1191446301528,20.48958865474306,20.105403670971683,19.947117692409613,0.47034228
23.271135937000963,23.139341061985956,22.920506331095694,22.575409810394888,22.205399260727194,21.84684691914898,0.93261474
23.393748056450118,22.714494347450785,22.09754028732077,21.937151708666494,21.74071123417271,21.6774741709605,0.28102836
22.966432174398285,21.336789793593102,19.895878775134644,19.294888893602145,18.921820804043296,18.900749742209108,0.32124722
23.708644411542974,23.14980083386134,22.36289898594391,22.184681215112928,21.890133327155286,21.859076644602958,0.4268077
23.210272497480197,22.775701619629256,22.04168855600653,21.5453981625681,21.310181489106263,21.148679259526943,0.6494717
22.788797505945755,22.78387872989201,22.393613461206375,22.022074857797513,21.814362456336607,22.09146208478223,0.6799909
23.57644088702007,23.093517239270202,22.453973559460632,21.899362591926074,21.537086682330024,21.47112302367711,0.7532748
25.0719319274603,23.287130436757867,21.69576080557529,20.74229561102098,20.350187018233832,20.208243942127474,0.5307274
24.361085048094917,23.499282843010974,22.765034082510045,22.47065545904181,22.19708697498833,22.05452704586292,0.28730804
24.137893217678933,22.17922841704083,20.643253580425288,19.976910783947474,19.651763339282557,19.593280229705343,0.42771518
23.999030138914964,23.82317461424677,23.204506376928276,22.749181966270278,22.463436963970416,22.47434625754409,0.68843794
23.339844022268032,22.933452386247804,22.17422602512387,21.923339794531625,21.635609756411352,21.427086111427663,0.4404613
22.072060216528723,20.56686976031833,19.418336085026418,18.972259291101157,18.67294203196104,19.392044461671567,0.2590968
22.506402067201225,22.408937914316592,22.222458653621253,21.91570889084188,21.74432483290813,21.454059324406252,0.9977371
23.21609039621702,22.33477352397552,21.58455495829412,21.334017562020453,21.139420476924247,21.084995839443053,0.23812556
23.637430102773404,23.462243012114214,23.447131637599256,23.305159864021302,22.801839700621063,22.833672926247367,1.2607028
24.92753112451091,24.815542904747282,24.250652552575364,23.84327497993348,23.390902194571826,23.149756066446415,0.80929875
25.944379397162947,25.146967190988185,23.346226611230517,22.199549360402997,21.4680664911505,21.255200853924066,0.8089854
23.7601656948657,23.117852776857312,22.440256358086486,21.562966615791826,21.181175632230214,20.94980985341524,0.8097815
23.576947718489194,21.924594680658178,20.60760607542328,20.054979872405656,19.72661635509054,19.563469453439808,0.2890194
23.329401449633057,22.427249165835228,21.84646324884284,21.52480832252048,21.351519062059072,21.310312861377923,0.19477503
25.166492167448464,24.611559345071562,23.92431762773349,22.964151974156767,22.525770526400617,22.43117197340255,0.8554677
22.844405866255588,22.36220208545896,21.46189106876492,21.03775577996687,20.79539321640032,20.689764909921905,0.52843386
23.485610342658788,23.45267445372623,23.41540039503556,23.21285784365151,22.801147797136306,22.9159661438347,1.092544
24.07412683548517,23.825038284836314,23.438345952593192,22.957216249488052,22.364126014332744,22.266542465405877,1.1163943
